城市,年份,夜光亮度,GDP_估算,第二产业占比,第三产业占比,专利授权数,R&D经费,R&D人员全时当量,规上工业企业R&D经费,规上工业企业R&D人员全时当量,信息就业人数,万元GDP能耗变化率,第一产业贡献率,第二产业贡献率,第三产业贡献率,一般公共预算支出
东营市,2015,4.56882810592651,3630.3372407912702,59.5,36.0,6930,1096384.0,19256.0,1046591.0,17078.0,0.5,-6.29,3.3,60.9,35.8,4317297
临沂市,2015,3.9587869644165,3145.605702836091,40.5,51.2,16298,1575930.0,34366.0,1360007.0,29833.0,0.6,-5.58,4.9,50.8,44.3,9763889
威海市,2015,5.22043800354004,4148.098824928364,37.0,53.7,10213,815981.0,21861.0,842880.0,20089.0,0.5,-13.04,6.8,40.7,52.5,4804571
德州市,2015,3.5368320941925,2810.3253106233938,43.3,47.1,10633,1217447.0,23820.0,1143264.0,20911.0,0.6,-15.44,6.2,47.2,46.6,6439882
日照市,2015,4.38384294509888,3483.3502010566854,43.0,48.4,5553,1095487.0,13106.0,725571.0,10669.0,0.4,-6.74,6.8,44.0,49.2,3184475
枣庄市,2015,3.64678692817688,2897.694132422735,38.6,52.8,6660,459844.0,13881.0,378001.0,11367.0,0.4,-5.94,5.2,42.8,52.0,3543826
泰安市,2015,3.49269795417786,2775.256840466329,41.9,47.8,9025,910082.0,25072.0,821190.0,18966.0,1.4,-6.71,6.9,47.2,45.9,4800006
济南市,2015,5.82249689102173,4626.487757429231,33.4,63.3,51227,4052419.0,94214.0,2033068.0,41893.0,9.5,-4.55,2.3,36.9,60.8,13971495
济宁市,2015,3.61731195449829,2874.273663949009,37.1,52.1,14982,1154861.0,36176.0,984911.0,29344.0,0.7,-9.45,6.8,33.1,60.2,8007121
淄博市,2015,4.0015459060669,3179.5814564979346,46.9,49.0,14565,1462828.0,33652.0,1152710.0,26962.0,1.5,-11.37,2.7,53.6,43.7,5775615
滨州市,2015,4.27762413024902,3398.9499762546275,45.5,45.3,8259,1222225.0,24905.0,1131297.0,22441.0,0.4,-4.61,5.8,55.7,38.5,5700314
潍坊市,2015,3.73752593994141,2969.794287202922,42.4,49.1,24755,2065857.0,56720.0,1989256.0,50925.0,1.4,-6.33,6.0,45.9,48.1,9019526
烟台市,2015,5.51748991012573,4384.132786794257,42.6,51.1,20762,2572992.0,53552.0,2083136.0,45060.0,1.0,-6.31,4.5,47.5,48.0,10049939
聊城市,2015,4.14909315109253,3296.820767317679,41.4,45.0,9591,1197326.0,17282.0,919313.0,14850.0,0.3,-7.95,9.4,48.7,41.8,5765383
菏泽市,2015,3.74439811706543,2975.2548385653786,43.4,47.4,7737,7045055.0,18069.0,657790.0,16802.0,0.4,-5.66,4.6,48.9,46.6,7108772
青岛市,2015,7.00123119354248,5563.0962128640895,34.2,62.8,64390,4673325.0,104542.0,2893729.0,63215.0,3.7,-2.08,2.3,41.6,56.1,17204231
